field,name,ra,dec
239,UW239,194.4206612831278,5.500360008832602
240,UW240,196.90208676826913,5.500360008832602
241,UW241,199.38351225341046,5.500360008832602
242,UW242,201.86493773855176,5.500360008832602
243,UW243,204.34636322369306,5.500360008832602
244,UW244,206.8277887088344,5.500360008832602
245,UW245,209.30921419397572,5.500360008832602
246,UW246,211.79063967911702,5.500360008832602
247,UW247,214.27206516425832,5.500360008832602
248,UW248,216.75349064939965,5.500360008832602
249,UW249,219.23491613454098,5.500360008832602
250,UW250,221.71634161968228,5.500360008832602
251,UW251,224.19776710482358,5.500360008832602
252,UW252,226.6791925899649,5.500360008832602
253,UW253,229.16061807510624,5.500360008832602
254,UW254,231.64204356024754,5.500360008832602
255,UW255,234.12346904538884,5.500360008832602
256,UW256,236.60489453053017,5.500360008832602
257,UW257,239.0863200156715,5.500360008832602
258,UW258,241.5677455008128,5.500360008832602
259,UW259,244.0491709859541,5.500360008832602
260,UW260,246.53059647109544,5.500360008832602
261,UW261,116.64995116293127,7.3053600088326025
262,UW262,119.14016534863464,7.3053600088326025
263,UW263,121.63037953433803,7.3053600088326025
264,UW264,124.1205937200414,7.3053600088326025
265,UW265,126.61080790574479,7.3053600088326025
266,UW266,129.10102209144816,7.3053600088326025
267,UW267,131.59123627715155,7.3053600088326025
268,UW268,134.08145046285492,7.3053600088326025
269,UW269,136.57166464855828,7.3053600088326025
270,UW270,139.06187883426168,7.3053600088326025
271,UW271,141.55209301996507,7.3053600088326025
272,UW272,144.04230720566844,7.3053600088326025
273,UW273,146.5325213913718,7.3053600088326025
274,UW274,149.0227355770752,7.3053600088326025
275,UW275,151.5129497627786,7.3053600088326025
276,UW276,154.00316394848196,7.3053600088326025
277,UW277,156.49337813418532,7.3053600088326025
278,UW278,158.98359231988871,7.3053600088326025
279,UW279,161.4738065055921,7.3053600088326025
280,UW280,163.96402069129547,7.3053600088326025
281,UW281,166.45423487699884,7.3053600088326025
282,UW282,168.94444906270223,7.3053600088326025
283,UW283,171.43466324840563,7.3053600088326025
284,UW284,173.924877434109,7.3053600088326025
285,UW285,176.41509161981236,7.3053600088326025
